ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID
HSA-LET-7A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7A-5P,miRNA,CAPECITABINE,DB01101,60953
HSA-LET-7A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7A-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7A-5P,miRNA,CYTARABINE,DB00987,6253
HSA-LET-7A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7A-5P,miRNA,EPIRUBICIN,DB00445,41867
HSA-LET-7A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7A-5P,miRNA,PLX-4720,DB06999,24180719
HSA-LET-7A-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7A-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-LET-7A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7A-5P,miRNA,OSIMERTINIB,DB09330,71496458
HSA-LET-7B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7B-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7B-5P,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7B-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7B-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7B-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7B-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7B-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7B-5P,miRNA,SORAFENIB,DB00398,216239
HSA-LET-7C-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7C-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7C-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7C-5P,miRNA,TAXANE,NA,9548828
HSA-LET-7C-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7D-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7D-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7D-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7D-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7D-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7D-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-LET-7D-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7D-5P,miRNA,TIVANTINIB,DB12200,11494412
HSA-LET-7E-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7E-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7E-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7E-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7E-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7F-5P,miRNA,VERAPAMIL,DB00661,2520
HSA-LET-7F-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7F-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7F-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7F-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7F-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7F-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7F-5P,miRNA,AZACITIDINE,DB00928,9444
HSA-LET-7F-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7F-5P,miRNA,TRAMETINIB,DB08911,11707110
HSA-LET-7F-5P,miRNA,VEMURAFENIB,DB08881,42611257
HSA-LET-7F-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7F-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7F-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7G-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7G-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7G-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7G-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7G-5P,miRNA,TRAMETINIB,DB08911,11707110
